Total_Publications,Citations,h_Index,Field_Of_Study,Institution_Ranking,Avg_Authors_Per_Paper,Has_Won_Major_Award,Papers_In_Top_Journals,International_Collaborations,Years_Since_PhD,CoAuthor_Connections_With_Winners,Target
53.0,0.0,16.0,Economics,108,4.636735312047399,0,1.0,1.0,49.0,1.0,No Win
42.0,1586.0,26.0,Medicine,46,2.2483570375157638,0,0.0,2.0,,1.0,No Win
29.0,2394.0,,Chemistry,194,5.193103000526769,1,1.0,4.0,2.0,2.0,No Win
36.0,143.0,28.0,Medicine,178,3.2250741130940406,0,4.0,4.0,14.0,2.0,No Win
55.0,1176.0,45.0,Chemistry,70,3.106090872236354,0,5.0,0.0,44.0,0.0,No Win
44.0,1434.0,27.0,Literature,78,1.6152421935372212,0,4.0,6.0,27.0,0.0,No Win
42.0,2119.0,31.0,Peace,53,6.280112449820343,1,3.0,0.0,4.0,1.0,No Win
41.0,2297.0,19.0,Peace,38,4.241033830366404,0,4.0,2.0,18.0,0.0,No Win
42.0,3715.0,29.0,Literature,70,1.0,0,2.0,0.0,18.0,1.0,No Win
36.0,1722.0,27.0,Economics,59,6.585770082105891,0,2.0,4.0,32.0,1.0,No Win
38.0,2148.0,25.0,Peace,124,3.420457060133403,0,1.0,0.0,40.0,1.0,No Win
38.0,1931.0,17.0,Literature,150,2.1266845828949448,0,2.0,3.0,18.0,0.0,No Win
47.0,2148.0,21.0,Peace,74,4.366424815141567,0,3.0,1.0,19.0,1.0,No Win
33.0,1632.0,11.0,Literature,115,3.2452474956949398,0,1.0,1.0,49.0,4.0,No Win
33.0,3366.0,10.0,Literature,82,7.439160380716336,0,7.0,3.0,6.0,1.0,No Win
33.0,3583.0,37.0,Peace,118,1.0,0,1.0,0.0,2.0,1.0,No Win
47.0,1330.0,31.0,Literature,99,7.313232700130383,0,5.0,2.0,15.0,0.0,No Win
41.0,1288.0,14.0,Peace,111,3.133365204619961,0,3.0,3.0,29.0,1.0,No Win
31.0,1694.0,5.0,Peace,35,5.6651596717978006,1,5.0,1.0,15.0,0.0,No Win
32.0,834.0,17.0,Physics,59,5.887055060343282,0,3.0,4.0,26.0,2.0,No Win
50.0,1920.0,29.0,Physics,52,5.341373334832591,1,2.0,1.0,8.0,0.0,No Win
45.0,0.0,35.0,Literature,69,3.681233818316868,0,4.0,1.0,22.0,0.0,No Win
38.0,2266.0,52.0,Peace,64,5.736943852238282,0,5.0,0.0,3.0,0.0,No Win
40.0,2389.0,37.0,Chemistry,101,1.303492680369216,0,6.0,4.0,1.0,0.0,No Win
43.0,4152.0,5.0,Peace,135,1.0,0,0.0,1.0,46.0,1.0,No Win
,2606.0,21.0,Physics,109,3.8763748682742065,0,3.0,1.0,31.0,2.0,No Win
32.0,3021.0,27.0,Literature,101,5.01046363924637,1,0.0,,49.0,0.0,No Win
42.0,0.0,23.0,Physics,85,2.8361881515578187,0,3.0,2.0,42.0,0.0,No Win
35.0,3465.0,18.0,Medicine,124,4.208704274703245,0,2.0,4.0,10.0,1.0,No Win
42.0,1502.0,36.0,Physics,82,5.94940738512916,1,2.0,1.0,48.0,0.0,No Win
42.0,2008.0,32.0,Chemistry,21,7.031327104792879,0,3.0,4.0,36.0,1.0,No Win
36.0,336.0,28.0,Literature,107,4.313649276352351,0,2.0,2.0,38.0,0.0,No Win
32.0,1665.0,22.0,Peace,126,4.132165066178223,0,3.0,2.0,46.0,1.0,No Win
38.0,2822.0,24.0,Economics,141,2.764536238746884,0,3.0,0.0,44.0,0.0,No Win
,0.0,35.0,Economics,75,4.8170023112443525,0,2.0,1.0,2.0,2.0,No Win
35.0,3642.0,38.0,Literature,158,7.541986893090574,0,1.0,5.0,42.0,2.0,No Win
27.0,1237.0,5.0,Medicine,2,4.474893060102099,0,3.0,3.0,30.0,2.0,No Win
43.0,,27.0,Economics,95,3.6791092077969183,0,3.0,4.0,1.0,2.0,No Win
37.0,670.0,18.0,Physics,170,5.37754701926883,0,2.0,1.0,17.0,1.0,No Win
38.0,4227.0,12.0,Medicine,89,2.4446283708075107,0,7.0,2.0,34.0,0.0,No Win
41.0,2207.0,19.0,,147,6.455144533762013,0,0.0,1.0,7.0,0.0,No Win
38.0,4628.0,28.0,Literature,182,3.7831220903391514,0,2.0,4.0,25.0,0.0,No Win
45.0,440.0,14.0,Physics,84,3.9486499596374216,0,2.0,2.0,30.0,0.0,No Win
39.0,2109.0,35.0,Chemistry,25,3.949453221739522,0,2.0,3.0,44.0,2.0,No Win
43.0,941.0,24.0,Peace,23,3.221017950745419,0,6.0,6.0,8.0,0.0,No Win
49.0,1579.0,18.0,Chemistry,122,5.092570344040895,0,1.0,5.0,33.0,1.0,No Win
38.0,4168.0,26.0,Medicine,87,6.625266002922057,0,3.0,1.0,37.0,1.0,No Win
39.0,2527.0,14.0,Physics,167,2.228198485881774,1,5.0,1.0,26.0,5.0,No Win
43.0,2872.0,,Physics,188,5.851029769083878,1,2.0,2.0,9.0,1.0,No Win
38.0,2817.0,29.0,Chemistry,10,6.295125127625582,0,5.0,6.0,17.0,1.0,No Win
40.0,2355.0,23.0,Physics,166,5.7707105751675485,0,4.0,2.0,1.0,0.0,No Win
40.0,1469.0,22.0,Physics,83,7.212989207697262,0,0.0,2.0,14.0,0.0,No Win
44.0,3455.0,31.0,Physics,45,3.6131917580810087,0,1.0,2.0,7.0,0.0,No Win
38.0,365.0,17.0,Medicine,30,3.1085474896511434,0,1.0,3.0,18.0,0.0,No Win
39.0,3365.0,46.0,Medicine,131,4.5386468491617045,0,4.0,2.0,42.0,1.0,No Win
35.0,3443.0,29.0,Literature,78,3.362911881910123,0,2.0,3.0,16.0,0.0,No Win
29.0,1393.0,26.0,Economics,11,2.4369717537243276,1,8.0,2.0,4.0,1.0,No Win
32.0,4041.0,32.0,Literature,179,2.4957416857105894,0,1.0,5.0,24.0,0.0,No Win
57.0,2092.0,30.0,Physics,145,7.548557333798776,0,3.0,1.0,,4.0,No Win
52.0,1274.0,25.0,Physics,137,2.266406078660741,0,4.0,2.0,28.0,1.0,No Win
39.0,3733.0,24.0,Peace,166,5.4654951503937745,1,2.0,3.0,45.0,2.0,No Win
45.0,4456.0,23.0,Chemistry,63,2.0975191627896645,0,4.0,2.0,26.0,2.0,No Win
40.0,393.0,33.0,Physics,71,1.2839329169989662,0,3.0,2.0,7.0,0.0,No Win
50.0,3902.0,5.0,Economics,68,6.73527203582378,0,7.0,2.0,30.0,0.0,No Win
42.0,1515.0,11.0,Economics,24,4.746302204571477,0,2.0,1.0,24.0,0.0,No Win
38.0,2595.0,29.0,Literature,173,1.0,0,4.0,3.0,44.0,0.0,No Win
38.0,1733.0,15.0,Peace,137,3.5691669763744285,0,4.0,2.0,40.0,1.0,No Win
44.0,1831.0,26.0,Medicine,25,6.317794028702222,0,1.0,3.0,17.0,0.0,No Win
30.0,4535.0,26.0,Peace,117,2.7372966815600135,0,2.0,0.0,43.0,0.0,No Win
39.0,1698.0,29.0,Physics,116,3.96005692609861,0,3.0,0.0,49.0,0.0,No Win
36.0,1280.0,32.0,Peace,164,2.5434078240720117,0,6.0,1.0,24.0,2.0,No Win
35.0,0.0,32.0,Chemistry,101,6.38182208604575,0,2.0,2.0,31.0,0.0,No Win
49.0,1913.0,5.0,Medicine,84,6.014122137509444,1,6.0,3.0,28.0,1.0,No Win
47.0,1731.0,8.0,Medicine,52,5.793208928007231,0,1.0,2.0,36.0,0.0,No Win
21.0,1059.0,21.0,Literature,10,4.455402759017828,0,4.0,2.0,36.0,1.0,No Win
35.0,3488.0,7.0,Physics,47,1.0,0,1.0,1.0,23.0,3.0,No Win
44.0,2223.0,36.0,Economics,38,4.441055548643229,0,4.0,3.0,15.0,1.0,No Win
42.0,374.0,42.0,Economics,148,1.0602247921415917,0,2.0,3.0,40.0,2.0,No Win
31.0,2984.0,14.0,Peace,121,4.222941455528065,0,5.0,1.0,16.0,1.0,No Win
35.0,3022.0,20.0,Medicine,100,3.025173097149993,1,3.0,3.0,29.0,0.0,No Win
34.0,2395.0,24.0,Chemistry,9,2.82397260092503,0,3.0,5.0,23.0,2.0,No Win
40.0,3516.0,24.0,Chemistry,199,1.7913332931684343,0,4.0,3.0,29.0,2.0,No Win
44.0,1906.0,21.0,Physics,42,7.281672886099592,1,2.0,2.0,16.0,1.0,No Win
42.0,2475.0,24.0,Physics,53,6.094469085527788,0,8.0,2.0,31.0,0.0,No Win
34.0,4124.0,29.0,Chemistry,40,8.852004090553176,0,4.0,4.0,11.0,3.0,No Win
37.0,545.0,23.0,Physics,200,4.404143221328311,0,1.0,2.0,20.0,0.0,No Win
42.0,3132.0,24.0,Chemistry,173,2.494726116057782,0,3.0,3.0,41.0,1.0,No Win
47.0,3672.0,19.0,Chemistry,155,6.683799322860101,1,3.0,2.0,6.0,1.0,No Win
46.0,2716.0,14.0,Chemistry,115,1.194374774246219,1,4.0,2.0,33.0,0.0,No Win
38.0,2755.0,22.0,Peace,151,3.957719310284641,0,1.0,5.0,2.0,1.0,No Win
30.0,3747.0,30.0,Economics,122,5.926530630997753,0,3.0,1.0,18.0,0.0,No Win
38.0,1685.0,31.0,Chemistry,180,4.579707652458359,1,1.0,2.0,47.0,0.0,No Win
53.0,4139.0,38.0,Economics,16,1.892708276318488,0,3.0,3.0,18.0,1.0,No Win
42.0,2766.0,16.0,Medicine,61,8.158538642041758,0,1.0,2.0,17.0,1.0,No Win
34.0,,44.0,Medicine,149,3.02220400901747,0,2.0,0.0,10.0,1.0,No Win
45.0,380.0,36.0,Physics,63,1.113237990351048,0,3.0,4.0,46.0,2.0,No Win
,0.0,23.0,,172,7.785671155294295,1,5.0,2.0,43.0,0.0,No Win
38.0,0.0,8.0,Medicine,143,1.6480156784297972,1,2.0,2.0,10.0,0.0,Win
48.0,2052.0,40.0,Literature,154,2.3885387793791293,0,5.0,0.0,31.0,0.0,No Win
38.0,221.0,14.0,Physics,9,5.482430274160045,0,6.0,3.0,46.0,1.0,No Win
33.0,2948.0,44.0,Chemistry,155,6.065655336112923,1,5.0,2.0,32.0,2.0,No Win
39.0,2178.0,12.0,Chemistry,76,3.532284117555582,0,5.0,2.0,27.0,1.0,No Win
46.0,3745.0,7.0,Peace,184,7.146083976771779,0,2.0,4.0,2.0,2.0,No Win
38.0,551.0,32.0,Medicine,55,5.013177027620607,0,1.0,2.0,29.0,1.0,No Win
38.0,3263.0,22.0,Medicine,177,2.544859806507155,0,6.0,5.0,38.0,3.0,No Win
39.0,0.0,36.0,Literature,156,4.82839005633228,0,3.0,0.0,21.0,0.0,No Win
43.0,2986.0,32.0,Chemistry,73,3.5874231088478994,1,1.0,1.0,34.0,0.0,Win
33.0,2299.0,15.0,Economics,63,2.8965997623608146,1,2.0,2.0,34.0,0.0,No Win
42.0,1922.0,37.0,Literature,44,6.829470607681111,0,4.0,0.0,2.0,0.0,No Win
43.0,1074.0,30.0,Peace,90,3.5710249076676095,0,3.0,4.0,35.0,0.0,No Win
44.0,583.0,13.0,Physics,9,5.848593281034838,0,4.0,3.0,10.0,1.0,No Win
31.0,1558.0,12.0,Chemistry,48,3.439710245930258,0,2.0,0.0,9.0,0.0,No Win
37.0,1644.0,24.0,Physics,125,6.269005442959324,0,4.0,1.0,36.0,1.0,No Win
44.0,3284.0,9.0,Peace,104,3.5688355773859173,0,7.0,6.0,44.0,0.0,No Win
36.0,3621.0,31.0,Literature,75,5.189074277306612,0,5.0,4.0,22.0,0.0,No Win
45.0,2618.0,30.0,Economics,103,5.584500155429689,1,3.0,4.0,36.0,0.0,No Win
39.0,1251.0,26.0,Economics,190,3.651062593585852,0,1.0,0.0,27.0,0.0,No Win
34.0,2142.0,23.0,Medicine,84,5.878837808311689,0,3.0,2.0,3.0,,No Win
30.0,3159.0,13.0,Economics,52,7.211793302253722,0,3.0,3.0,34.0,0.0,No Win
38.0,1693.0,29.0,Economics,125,8.336009962756506,1,3.0,1.0,34.0,1.0,No Win
40.0,1636.0,34.0,Literature,137,1.4134646050044783,0,2.0,1.0,14.0,1.0,No Win
32.0,2887.0,20.0,Chemistry,35,3.5415611551702306,0,2.0,0.0,11.0,3.0,No Win
31.0,3635.0,22.0,Medicine,27,2.979873427496951,0,1.0,3.0,32.0,0.0,No Win
35.0,642.0,34.0,Physics,23,5.847418586206087,0,2.0,3.0,43.0,1.0,No Win
34.0,2800.0,30.0,Medicine,120,2.742602700461782,0,4.0,2.0,1.0,0.0,No Win
44.0,0.0,23.0,Economics,156,7.052269692961858,0,3.0,2.0,36.0,0.0,No Win
41.0,1709.0,32.0,Medicine,44,6.829140037498307,0,2.0,3.0,15.0,1.0,No Win
53.0,956.0,9.0,Peace,200,3.6527039830309125,0,4.0,3.0,37.0,0.0,No Win
33.0,0.0,31.0,Literature,170,6.777521982384043,0,6.0,3.0,45.0,0.0,No Win
55.0,2636.0,23.0,Physics,63,7.4662547094299,0,5.0,0.0,5.0,1.0,No Win
42.0,319.0,11.0,Economics,79,2.605685545812495,0,2.0,1.0,21.0,1.0,No Win
38.0,2412.0,35.0,Literature,37,5.830888359181682,0,4.0,2.0,44.0,0.0,No Win
39.0,2405.0,14.0,Literature,50,1.368916863757534,0,4.0,0.0,29.0,0.0,No Win
43.0,2463.0,10.0,Physics,1,3.2349388817572704,1,3.0,1.0,20.0,1.0,No Win
38.0,1905.0,10.0,Literature,13,8.675609034640969,0,3.0,4.0,3.0,1.0,No Win
34.0,3422.0,26.0,Economics,110,6.861912374880385,0,2.0,1.0,8.0,0.0,No Win
36.0,2675.0,34.0,Literature,17,3.8886564160544026,0,2.0,1.0,27.0,0.0,No Win
44.0,1829.0,5.0,Literature,109,5.390910774015289,0,1.0,1.0,28.0,1.0,No Win
35.0,1223.0,38.0,Medicine,198,4.17181371445653,0,2.0,0.0,17.0,1.0,No Win
39.0,1844.0,21.0,Literature,31,6.502672628699756,0,2.0,0.0,45.0,1.0,No Win
49.0,2361.0,7.0,Physics,130,6.925374685629652,0,3.0,5.0,19.0,0.0,No Win
40.0,2419.0,20.0,Chemistry,6,3.8896424171894424,0,4.0,2.0,36.0,0.0,No Win
38.0,3081.0,19.0,Medicine,88,4.185325122523056,1,2.0,3.0,23.0,0.0,No Win
41.0,1961.0,36.0,Chemistry,182,5.181336065437103,0,1.0,1.0,5.0,2.0,No Win
34.0,123.0,17.0,Medicine,11,5.293718332863385,0,4.0,3.0,20.0,0.0,No Win
32.0,5623.0,30.0,Economics,108,1.7993658815574065,0,2.0,0.0,15.0,0.0,No Win
35.0,2500.0,19.0,Economics,55,4.79859383741038,0,5.0,5.0,21.0,1.0,No Win
39.0,496.0,26.0,Literature,109,4.689197035049458,0,2.0,0.0,19.0,3.0,No Win
53.0,655.0,11.0,Economics,101,4.938812700379852,0,0.0,2.0,40.0,1.0,No Win
32.0,0.0,31.0,Peace,183,3.0370555336551646,0,2.0,0.0,23.0,2.0,No Win
36.0,507.0,16.0,Chemistry,68,1.0,0,3.0,2.0,31.0,1.0,No Win
42.0,253.0,,Medicine,55,4.664692317217511,0,2.0,2.0,33.0,0.0,No Win
39.0,2871.0,20.0,Peace,187,1.1322783444570428,0,7.0,1.0,49.0,0.0,No Win
34.0,787.0,18.0,Medicine,91,1.0,0,4.0,2.0,32.0,2.0,No Win
45.0,2292.0,21.0,Medicine,88,1.0,0,3.0,3.0,29.0,2.0,No Win
34.0,0.0,26.0,Peace,9,5.253207700499809,0,3.0,1.0,32.0,0.0,No Win
45.0,3139.0,28.0,Literature,161,6.945828204828773,0,3.0,1.0,6.0,2.0,No Win
38.0,2241.0,40.0,Medicine,165,2.045777308264028,0,1.0,2.0,41.0,1.0,No Win
37.0,2778.0,12.0,Physics,144,1.393660990539546,0,8.0,1.0,4.0,1.0,No Win
32.0,5444.0,26.0,Economics,173,4.279326914923371,0,0.0,3.0,29.0,1.0,No Win
42.0,3667.0,23.0,Medicine,183,1.0,0,3.0,4.0,15.0,0.0,No Win
35.0,1381.0,13.0,Literature,102,9.09064250540521,0,1.0,1.0,33.0,0.0,No Win
51.0,482.0,26.0,Peace,148,4.628298393464724,0,5.0,5.0,14.0,1.0,No Win
,2932.0,19.0,Peace,16,4.039897270877037,0,2.0,1.0,33.0,0.0,No Win
49.0,3096.0,27.0,Physics,153,7.143347979542164,1,4.0,,10.0,0.0,No Win
43.0,2249.0,26.0,Physics,9,3.4150656542658995,0,0.0,3.0,1.0,0.0,Win
45.0,1943.0,18.0,Medicine,118,5.552255832148347,0,3.0,1.0,41.0,2.0,No Win
34.0,2011.0,18.0,Peace,150,5.033560193266384,0,5.0,1.0,28.0,0.0,No Win
41.0,1062.0,48.0,Chemistry,49,4.675049713732278,0,5.0,3.0,6.0,0.0,No Win
35.0,3906.0,21.0,Chemistry,53,4.058138757560361,0,0.0,4.0,24.0,0.0,No Win
44.0,3793.0,16.0,Literature,50,2.907719597633889,0,0.0,1.0,9.0,0.0,No Win
32.0,1714.0,18.0,Economics,12,6.192307144840603,0,2.0,3.0,9.0,1.0,No Win
44.0,970.0,29.0,Peace,146,2.355635299193128,0,2.0,3.0,18.0,,No Win
45.0,1327.0,16.0,Literature,144,4.116761302773242,0,5.0,1.0,9.0,2.0,No Win
34.0,4092.0,27.0,Economics,138,6.273213093689373,0,1.0,1.0,23.0,0.0,No Win
37.0,939.0,14.0,Chemistry,78,3.3396503368737758,1,2.0,2.0,35.0,1.0,No Win
26.0,0.0,5.0,Literature,130,6.53265257676505,0,4.0,4.0,33.0,1.0,No Win
33.0,294.0,32.0,Physics,41,6.186691305848579,0,5.0,0.0,15.0,1.0,No Win
41.0,2645.0,38.0,Literature,53,3.971137618853633,0,3.0,0.0,34.0,0.0,No Win
30.0,4775.0,29.0,Chemistry,113,6.318471823660516,0,1.0,1.0,38.0,1.0,No Win
36.0,778.0,23.0,Economics,185,1.3348282695361493,0,0.0,3.0,11.0,1.0,No Win
47.0,1651.0,19.0,Physics,43,4.780715627318641,0,2.0,2.0,10.0,4.0,Win
45.0,1300.0,22.0,Physics,49,4.238542230281001,0,6.0,2.0,18.0,1.0,No Win
44.0,933.0,7.0,Literature,98,5.414292380339016,0,4.0,4.0,47.0,0.0,No Win
39.0,1595.0,16.0,Peace,135,1.2069053971842507,0,4.0,0.0,44.0,0.0,No Win
47.0,2907.0,33.0,Peace,130,4.156467680813062,0,1.0,1.0,33.0,2.0,No Win
29.0,2248.0,33.0,Economics,20,4.7212403707856225,1,3.0,1.0,13.0,1.0,No Win
33.0,3639.0,8.0,Chemistry,198,3.1219996051102217,0,4.0,3.0,35.0,1.0,No Win
41.0,1875.0,31.0,Economics,145,4.1627160777381,0,5.0,0.0,27.0,1.0,No Win
35.0,1763.0,22.0,Physics,27,3.8427994019076563,0,4.0,3.0,9.0,2.0,No Win
46.0,,47.0,Economics,127,4.215133076789129,0,5.0,1.0,3.0,3.0,No Win
40.0,184.0,35.0,Physics,199,10.90509762827914,0,2.0,4.0,26.0,2.0,No Win
40.0,2611.0,23.0,Peace,65,2.122054777876866,0,2.0,2.0,22.0,2.0,No Win
41.0,0.0,29.0,Medicine,46,8.457067676461662,0,3.0,1.0,3.0,0.0,No Win
27.0,1069.0,34.0,Peace,143,2.1353051057606254,0,2.0,1.0,8.0,0.0,No Win
32.0,2753.0,37.0,Chemistry,169,3.3843101242769094,0,1.0,2.0,2.0,1.0,No Win
28.0,0.0,42.0,Literature,24,7.7640107520411,1,6.0,4.0,23.0,0.0,No Win
45.0,1412.0,16.0,Peace,109,5.7144893955427625,0,4.0,3.0,8.0,3.0,No Win
40.0,2951.0,21.0,Chemistry,23,6.818108741652893,1,3.0,2.0,10.0,0.0,No Win
35.0,2035.0,24.0,Economics,135,5.996881974805542,0,5.0,1.0,38.0,1.0,No Win
34.0,2283.0,27.0,Economics,77,3.042875656940593,1,2.0,1.0,31.0,1.0,No Win
33.0,590.0,35.0,Chemistry,100,6.060960636915246,0,2.0,8.0,34.0,1.0,No Win
42.0,1793.0,32.0,Chemistry,178,4.546248836821162,0,1.0,2.0,24.0,1.0,Win
47.0,1417.0,23.0,Peace,190,4.422653997973402,0,5.0,1.0,23.0,2.0,No Win
47.0,1382.0,27.0,Medicine,114,3.228378508736862,0,6.0,3.0,21.0,1.0,No Win
46.0,643.0,40.0,Peace,43,6.3577112792396475,0,2.0,2.0,30.0,1.0,No Win
45.0,343.0,27.0,Economics,157,3.658952981656173,0,9.0,2.0,31.0,1.0,No Win
34.0,2507.0,28.0,Economics,20,5.843067529724476,1,2.0,3.0,43.0,1.0,No Win
36.0,1124.0,5.0,Literature,131,4.505199810849667,0,1.0,2.0,22.0,2.0,No Win
44.0,2216.0,24.0,Peace,130,3.905994850238744,0,0.0,0.0,34.0,0.0,No Win
32.0,1526.0,30.0,Chemistry,141,4.098104431492143,0,2.0,5.0,38.0,1.0,No Win
37.0,2649.0,22.0,Medicine,45,4.692609525392984,0,1.0,1.0,13.0,2.0,No Win
46.0,2373.0,19.0,Medicine,74,6.105842418821493,0,5.0,2.0,24.0,0.0,No Win
32.0,2917.0,24.0,Physics,138,4.40808096266978,0,5.0,3.0,3.0,0.0,No Win
33.0,277.0,29.0,Physics,113,4.000837283522377,0,3.0,1.0,,2.0,No Win
32.0,6.0,25.0,Literature,102,2.091666765541531,1,4.0,0.0,33.0,0.0,No Win
36.0,3500.0,28.0,Economics,81,4.515554789979559,0,0.0,1.0,48.0,0.0,No Win
42.0,963.0,35.0,Physics,42,7.878381911699517,0,2.0,3.0,44.0,1.0,No Win
37.0,3597.0,14.0,Economics,108,4.360096545050112,0,1.0,2.0,34.0,0.0,No Win
50.0,262.0,39.0,Physics,159,4.511042350513215,0,2.0,4.0,12.0,2.0,No Win
35.0,3331.0,15.0,Literature,143,7.01279508880253,1,5.0,5.0,5.0,3.0,No Win
44.0,1700.0,30.0,Medicine,24,2.4978026030726035,0,1.0,2.0,4.0,1.0,No Win
39.0,3512.0,26.0,Physics,154,2.577599606115819,0,7.0,1.0,6.0,2.0,No Win
39.0,2365.0,17.0,Medicine,58,7.033627349709109,0,4.0,1.0,41.0,0.0,No Win
50.0,2037.0,18.0,Economics,23,3.412927419589,0,2.0,2.0,24.0,2.0,No Win
40.0,0.0,23.0,Physics,23,4.981161857983964,1,2.0,4.0,3.0,2.0,No Win
35.0,558.0,25.0,Chemistry,182,1.6739539216759627,0,3.0,3.0,45.0,0.0,No Win
35.0,2632.0,15.0,Peace,35,5.407403034923258,0,3.0,2.0,16.0,0.0,No Win
28.0,3520.0,31.0,Chemistry,129,8.457979738654616,0,1.0,0.0,1.0,0.0,No Win
27.0,2325.0,20.0,Chemistry,77,3.7199739612651146,0,2.0,2.0,28.0,1.0,No Win
42.0,3812.0,28.0,Chemistry,103,5.4098267171017,0,2.0,3.0,31.0,1.0,No Win
34.0,813.0,21.0,Literature,124,3.975299983761959,0,1.0,2.0,34.0,1.0,No Win
45.0,1109.0,43.0,Chemistry,2,6.3626599525414225,1,3.0,1.0,17.0,1.0,Win
45.0,3966.0,14.0,Peace,64,3.861203412816427,0,3.0,3.0,6.0,1.0,No Win
48.0,1651.0,19.0,Chemistry,117,3.465428181467604,1,3.0,0.0,43.0,0.0,No Win
43.0,3370.0,27.0,Literature,67,3.906921535342928,1,1.0,5.0,46.0,1.0,No Win
41.0,1840.0,24.0,Medicine,37,8.264233411346495,0,2.0,1.0,5.0,0.0,No Win
32.0,0.0,28.0,Peace,197,4.098855002960252,0,3.0,1.0,30.0,1.0,No Win
45.0,1126.0,31.0,Peace,157,3.8937309027180698,0,6.0,1.0,17.0,1.0,No Win
45.0,2106.0,19.0,Chemistry,132,2.5260994548241213,0,2.0,2.0,15.0,2.0,No Win
33.0,1697.0,43.0,Medicine,79,1.0,0,2.0,2.0,25.0,1.0,No Win
36.0,2667.0,21.0,Economics,66,5.009917535769635,0,2.0,2.0,22.0,0.0,No Win
40.0,528.0,22.0,Peace,113,1.0,0,4.0,4.0,21.0,1.0,No Win
48.0,3546.0,22.0,Peace,24,4.271001765327723,0,2.0,1.0,30.0,0.0,No Win
41.0,278.0,31.0,Literature,46,1.0,0,3.0,3.0,45.0,2.0,No Win
36.0,1944.0,27.0,Physics,89,4.595661081249268,1,3.0,0.0,1.0,1.0,No Win
44.0,2985.0,21.0,Medicine,128,4.368564854907034,0,2.0,1.0,21.0,1.0,No Win
40.0,3173.0,32.0,Chemistry,117,5.602690264568713,1,2.0,4.0,37.0,0.0,No Win
42.0,6716.0,14.0,Physics,42,1.0,0,3.0,7.0,33.0,0.0,No Win
37.0,3670.0,23.0,Economics,48,4.304431543649207,0,7.0,1.0,35.0,0.0,No Win
31.0,1805.0,40.0,Medicine,85,5.840190997841228,0,5.0,0.0,12.0,2.0,No Win
40.0,4231.0,43.0,Peace,127,6.636362834746635,0,2.0,2.0,46.0,2.0,No Win
50.0,0.0,15.0,Peace,62,4.414725243770912,0,3.0,0.0,42.0,0.0,No Win
44.0,1968.0,16.0,Chemistry,190,2.89549466851053,0,4.0,0.0,43.0,1.0,No Win
38.0,4370.0,14.0,Medicine,133,3.5856298541003895,0,4.0,1.0,32.0,0.0,No Win
40.0,1343.0,31.0,Chemistry,127,3.590218037245728,0,7.0,2.0,9.0,0.0,No Win
37.0,0.0,40.0,Literature,76,4.953864845039652,1,3.0,2.0,21.0,0.0,No Win
35.0,2869.0,22.0,Economics,105,6.953846436060211,1,3.0,1.0,33.0,1.0,No Win
40.0,2562.0,16.0,Literature,104,5.401547820870251,0,2.0,2.0,28.0,0.0,No Win
48.0,1294.0,40.0,Economics,184,5.40702369823514,0,3.0,1.0,1.0,1.0,No Win
47.0,2455.0,15.0,Peace,130,2.7661753975176793,0,3.0,1.0,41.0,3.0,No Win
44.0,798.0,32.0,Physics,114,2.8343003236960347,1,3.0,2.0,44.0,1.0,No Win
39.0,1905.0,10.0,,184,7.980258918169554,0,0.0,2.0,23.0,3.0,No Win
38.0,1342.0,26.0,Chemistry,142,7.112968652901465,0,4.0,2.0,7.0,1.0,No Win
30.0,3148.0,18.0,Peace,24,1.0,1,2.0,2.0,29.0,0.0,No Win
39.0,1212.0,20.0,Peace,70,3.8726809647357485,1,5.0,4.0,15.0,0.0,No Win
38.0,0.0,33.0,Medicine,85,3.241641530241476,0,2.0,2.0,7.0,0.0,No Win
35.0,2486.0,33.0,Physics,10,1.1222914360539327,0,3.0,0.0,23.0,0.0,No Win
46.0,1582.0,33.0,Medicine,90,5.209615937528609,0,4.0,0.0,32.0,2.0,No Win
34.0,3981.0,37.0,Peace,9,1.0,0,2.0,1.0,34.0,0.0,No Win
39.0,5700.0,27.0,Literature,96,2.9312241958799348,0,2.0,2.0,23.0,2.0,No Win
50.0,0.0,37.0,Peace,138,2.3036719357280515,1,1.0,1.0,2.0,0.0,No Win
44.0,992.0,41.0,Medicine,2,,0,2.0,3.0,6.0,0.0,No Win
32.0,0.0,5.0,Physics,100,4.283417191108142,0,2.0,3.0,24.0,1.0,No Win
31.0,2859.0,23.0,Peace,94,5.165911575299612,0,2.0,0.0,31.0,0.0,No Win
39.0,5118.0,15.0,Medicine,62,,0,2.0,2.0,37.0,0.0,No Win
50.0,712.0,13.0,Peace,139,2.7687507696163687,0,0.0,0.0,19.0,2.0,No Win
52.0,3135.0,45.0,Literature,185,5.090643461639876,0,5.0,2.0,31.0,2.0,No Win
40.0,1840.0,14.0,Physics,17,5.322087076741007,0,2.0,2.0,35.0,2.0,No Win
39.0,1624.0,33.0,Peace,130,,0,4.0,1.0,22.0,1.0,No Win
51.0,0.0,36.0,Peace,186,4.159384982816615,0,3.0,2.0,20.0,2.0,No Win
32.0,1502.0,35.0,Chemistry,7,3.3540374622191287,0,2.0,2.0,20.0,0.0,No Win
37.0,569.0,25.0,Peace,104,3.1201782187200724,0,2.0,2.0,22.0,0.0,No Win
